name,loss,dataset,seed,acc,query
worldly-dust-1701,Cross Entropy,ImbalancedCIFAR10DataModule,9,0.6380000114440918,No IW
wandering-smoke-1700,Cross Entropy,ImbalancedCIFAR10DataModule,8,0.6274999380111694,No IW
distinctive-waterfall-1699,Cross Entropy,ImbalancedCIFAR10DataModule,6,0.6034999489784241,No IW
sparkling-cosmos-1697,Cross Entropy,ImbalancedCIFAR10DataModule,5,0.5524999499320984,No IW
devout-sun-1698,Cross Entropy,ImbalancedCIFAR10DataModule,7,0.6284999251365662,No IW
fallen-butterfly-1667,Poly-tailed Loss,ImbalancedCIFAR10DataModule,5,0.5504999756813049,No IW
crisp-energy-1664,Poly-tailed Loss,ImbalancedCIFAR10DataModule,9,0.5649999976158142,No IW
dauntless-energy-1662,Poly-tailed Loss,ImbalancedCIFAR10DataModule,7,0.5864999294281006,No IW
major-music-1669,Poly-tailed Loss,ImbalancedCIFAR10DataModule,8,0.5679999589920044,No IW
polished-forest-1663,Poly-tailed Loss,ImbalancedCIFAR10DataModule,6,0.5469998717308044,No IW
earnest-salad-1634,Cross Entropy,ImbalancedCIFAR10DataModule,4,0.5774999856948853,No IW
rural-universe-1632,Poly-tailed Loss,ImbalancedCIFAR10DataModule,4,0.5684999227523804,No IW
devoted-elevator-1624,Poly-tailed Loss,ImbalancedCIFAR10DataModule,3,0.5564999580383301,No IW
brisk-glade-1623,Cross Entropy,ImbalancedCIFAR10DataModule,3,0.6054999828338623,No IW
effortless-morning-1611,Cross Entropy,ImbalancedCIFAR10DataModule,1,0.6029999852180481,No IW
logical-lake-1609,Poly-tailed Loss,ImbalancedCIFAR10DataModule,0,0.5614999532699585,No IW
vital-night-1610,Poly-tailed Loss,ImbalancedCIFAR10DataModule,1,0.5564999580383301,No IW
devout-donkey-1607,Cross Entropy,ImbalancedCIFAR10DataModule,2,0.622499942779541,No IW
blooming-shadow-1608,Cross Entropy,ImbalancedCIFAR10DataModule,0,0.5874999761581421,No IW
super-spaceship-1605,Poly-tailed Loss,ImbalancedCIFAR10DataModule,2,0.578499972820282,No IW
cosmic-meadow-1281,Poly-tailed Loss,CelebADataModule,9,0.7958332896232605,No IW
wobbly-sunset-1280,Cross Entropy,CelebADataModule,9,0.8027777671813965,No IW
