name,loss,dataset,seed,acc,query
frosty-valley-574,torch.nn.CrossEntropyLoss,CelebADataModule,1,0.831944465637207,CE+US
twilight-thunder-570,torch.nn.CrossEntropyLoss,CelebADataModule,7,0.838888943195343,CE+US
hearty-elevator-571,torch.nn.CrossEntropyLoss,CelebADataModule,6,0.7513887882232666,CE+US
sandy-galaxy-572,torch.nn.CrossEntropyLoss,CelebADataModule,8,0.8513888120651245,CE+US
mild-pyramid-569,torch.nn.CrossEntropyLoss,CelebADataModule,9,0.831944465637207,CE+US
northern-fog-573,torch.nn.CrossEntropyLoss,CelebADataModule,3,0.7916666269302368,CE+US
crimson-lion-567,torch.nn.CrossEntropyLoss,CelebADataModule,5,0.8263888359069824,CE+US
rural-tree-565,torch.nn.CrossEntropyLoss,CelebADataModule,0,0.8583332896232605,CE+US
winter-fire-568,torch.nn.CrossEntropyLoss,CelebADataModule,2,0.838888943195343,CE+US
genial-spaceship-566,torch.nn.CrossEntropyLoss,CelebADataModule,4,0.8097221851348877,CE+US
robust-shadow-2295,src.loss_fns.PolynomialLoss,CelebADataModule,4,0.8166666030883789,Poly+IW
dry-shape-2290,src.loss_fns.PolynomialLoss,CelebADataModule,6,0.8250000476837158,Poly+IW
celestial-dawn-2293,src.loss_fns.PolynomialLoss,CelebADataModule,0,0.8249999284744263,Poly+IW
whole-surf-2291,src.loss_fns.PolynomialLoss,CelebADataModule,2,0.8333333134651184,Poly+IW
tough-dust-2285,src.loss_fns.PolynomialLoss,CelebADataModule,9,0.8069443702697754,Poly+IW
flowing-microwave-2289,src.loss_fns.PolynomialLoss,CelebADataModule,1,0.831944465637207,Poly+IW
worldly-oath-2287,src.loss_fns.PolynomialLoss,CelebADataModule,7,0.8305555582046509,Poly+IW
daily-paper-2288,src.loss_fns.PolynomialLoss,CelebADataModule,5,0.8208332657814026,Poly+IW
kind-durian-2286,src.loss_fns.PolynomialLoss,CelebADataModule,8,0.8222221732139587,Poly+IW
youthful-dawn-1864,src.loss_fns.VSGroupLoss,CelebADataModule,9,0.831944465637207,VS
electric-rain-1865,src.loss_fns.VSGroupLoss,CelebADataModule,7,0.8236110806465149,VS
rare-moon-1863,src.loss_fns.VSGroupLoss,CelebADataModule,3,0.8277777433395386,VS
dandy-shadow-1862,src.loss_fns.VSGroupLoss,CelebADataModule,4,0.8180554509162903,VS
azure-music-1859,src.loss_fns.VSGroupLoss,CelebADataModule,1,0.8180554509162903,VS
fresh-serenity-1858,src.loss_fns.VSGroupLoss,CelebADataModule,2,0.8194443583488464,VS
treasured-glade-1860,src.loss_fns.VSGroupLoss,CelebADataModule,5,0.8388888239860535,VS
dry-forest-1861,src.loss_fns.VSGroupLoss,CelebADataModule,6,0.8277777433395386,VS
true-sky-1857,src.loss_fns.VSGroupLoss,CelebADataModule,0,0.8236110806465149,VS
vibrant-plant-2193,torch.nn.CrossEntropyLoss,CelebADataModule,9,0.8374999165534973,CE+DRO
summer-dust-2192,torch.nn.CrossEntropyLoss,CelebADataModule,8,0.8513888120651245,CE+DRO
vivid-wave-2191,torch.nn.CrossEntropyLoss,CelebADataModule,7,0.8499999046325684,CE+DRO
rich-universe-2190,torch.nn.CrossEntropyLoss,CelebADataModule,6,0.8583332896232605,CE+DRO
fresh-eon-2189,torch.nn.CrossEntropyLoss,CelebADataModule,5,0.8416666388511658,CE+DRO
flowing-sponge-2188,torch.nn.CrossEntropyLoss,CelebADataModule,4,0.8611111044883728,CE+DRO
easy-frost-2187,torch.nn.CrossEntropyLoss,CelebADataModule,1,0.8416666388511658,CE+DRO
toasty-music-2185,torch.nn.CrossEntropyLoss,CelebADataModule,2,0.8444443941116333,CE+DRO
feasible-galaxy-2186,torch.nn.CrossEntropyLoss,CelebADataModule,0,0.8361111283302307,CE+DRO
jumping-dust-2184,torch.nn.CrossEntropyLoss,CelebADataModule,3,0.8583332896232605,CE+DRO
