name,loss,dataset,seed,acc,query
laced-cloud-574,torch.nn.CrossEntropyLoss,ImbalancedCIFAR10DataModule,9,0.6000000238418579,CE+US
dashing-glade-573,torch.nn.CrossEntropyLoss,ImbalancedCIFAR10DataModule,8,0.5879999995231628,CE+US
divine-wildflower-572,torch.nn.CrossEntropyLoss,ImbalancedCIFAR10DataModule,7,0.590499997138977,CE+US
hardy-totem-569,torch.nn.CrossEntropyLoss,ImbalancedCIFAR10DataModule,6,0.5564999580383301,CE+US
quiet-flower-571,torch.nn.CrossEntropyLoss,ImbalancedCIFAR10DataModule,5,0.5914999842643738,CE+US
fancy-spaceship-570,torch.nn.CrossEntropyLoss,ImbalancedCIFAR10DataModule,4,0.5744999647140503,CE+US
giddy-sun-568,torch.nn.CrossEntropyLoss,ImbalancedCIFAR10DataModule,3,0.5769999623298645,CE+US
zesty-forest-567,torch.nn.CrossEntropyLoss,ImbalancedCIFAR10DataModule,2,0.606999933719635,CE+US
vague-meadow-565,torch.nn.CrossEntropyLoss,ImbalancedCIFAR10DataModule,0,0.5794999599456787,CE+US
dulcet-capybara-566,torch.nn.CrossEntropyLoss,ImbalancedCIFAR10DataModule,1,0.5899999737739563,CE+US
apricot-sound-2283,src.loss_fns.PolynomialLoss,ImbalancedCIFAR10DataModule,3,0.6635000109672546,Poly+IW
grateful-spaceship-2183,src.loss_fns.PolynomialLoss,ImbalancedCIFAR10DataModule,9,0.6869999766349792,Poly+IW
prime-thunder-2182,src.loss_fns.PolynomialLoss,ImbalancedCIFAR10DataModule,8,0.668999969959259,Poly+IW
atomic-hill-2181,src.loss_fns.PolynomialLoss,ImbalancedCIFAR10DataModule,7,0.6654999852180481,Poly+IW
vital-glitter-2180,src.loss_fns.PolynomialLoss,ImbalancedCIFAR10DataModule,6,0.6759999990463257,Poly+IW
radiant-shadow-2179,src.loss_fns.PolynomialLoss,ImbalancedCIFAR10DataModule,5,0.671500027179718,Poly+IW
ethereal-energy-2178,src.loss_fns.PolynomialLoss,ImbalancedCIFAR10DataModule,4,0.6699999570846558,Poly+IW
spring-snowflake-2176,src.loss_fns.PolynomialLoss,ImbalancedCIFAR10DataModule,0,0.6779999732971191,Poly+IW
peachy-silence-2170,src.loss_fns.PolynomialLoss,ImbalancedCIFAR10DataModule,2,0.6824999451637268,Poly+IW
